,Title,IMDB Score,Genre,Poster
0,Alice's Wonderland (1923),6.7,Animation|Comedy|Short,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3Njg5NTczM15BMl5BanBnXkFtZTcwNTUyMTEzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"""
1,Letuchiy korabl (1979),8.1,Animation|Short|Family,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmEzYzg2MDUtZTJmYi00N2UxLThiZWYtYjQ0ZGNjZjRhZjU5XkEyXkFqcGdeQXVyNjMxODMyODU@._V1_UX182_CR0,0,182,268_AL_.jpg"""
2,The Last Outlaw (1993),6.4,Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNDU3Nzk3MF5BMl5BanBnXkFtZTcwMjkzNDcyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"""
3,Flight World War II (2015),4.3,Action|Adventure|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NTY4ODkxMV5BMl5BanBnXkFtZTgwNTY1NDgyNjE@._V1_UY268_CR9,0,182,268_AL_.jpg"""
4,Elavad pildid (2013),7.3,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMWJjZWI2YjktZjc4Ny00MTNmLWIzN2EtZWVmZTQ5OWZlZGQ0XkEyXkFqcGdeQXVyMjg5MjUyNQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"""
5,Tony 10 (2012),5.8,Family,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTJkMDhmODMtN2QxZS00ZmQwLTkyMGUtYWQwZThlYjQwMjg3XkEyXkFqcGdeQXVyMzExODEzNDA@._V1_UY268_CR4,0,182,268_AL_.jpg"""
6,Magnus (2007),6,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTE2NDMzNWMtYjU0YS00ZTM4LWJhMjgtMzQyOWU5MzFkODIyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR4,0,182,268_AL_.jpg"""
7,Kirsitubakas (2014),6.5,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MzQ4OTE5MF5BMl5BanBnXkFtZTgwNzUxOTc5MTE@._V1_UY268_CR4,0,182,268_AL_.jpg"""
8,Dungeons & Dragons: Wrath of the Dragon God (2005),4.9,Action|Adventure|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNzg2OTI2Nl5BMl5BanBnXkFtZTgwNzQzODkwMzE@._V1_UY268_CR4,0,182,268_AL_.jpg"""
9,Ruudi (2006),5.1,Comedy|Family|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMDk1MTU2NV5BMl5BanBnXkFtZTgwNTY0MDA2MDE@._V1_UY268_CR6,0,182,268_AL_.jpg"""
10,Vasaku jala reede (2012),6.8,Comedy|Crime|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2M4N2NiYTAtYTgxMS00NDhjLTgwMDMtZTM1NjlmMzU3NmQzXkEyXkFqcGdeQXVyNjM3NTIzNjE@._V1_UY268_CR3,0,182,268_AL_.jpg"""
11,Freerunner (2011),3.8,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwODY0NDk5OV5BMl5BanBnXkFtZTcwODU3MjkxNg@@._V1_UY268_CR1,0,182,268_AL_.jpg"""
12,Hier kommt: Lola (2010),6.2,Comedy|Drama|Family,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTAwMzAzOF5BMl5BanBnXkFtZTgwNDEyNTAxMjE@._V1_UY268_CR9,0,182,268_AL_.jpg"""
13,Cupcakes (2013),6,Comedy|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MzU2MTQzMF5BMl5BanBnXkFtZTgwMDEwMzk1NDE@._V1_UY268_CR0,0,182,268_AL_.jpg"""
14,Hibernatus (1969),6.7,Comedy|Fantasy|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTY2YzczYmUtOTUwMC00N2M5LWFhYzUtMzMwNzIzZTYwZDhjXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_UY268_CR10,0,182,268_AL_.jpg"""
